ai	 a1 j
am	 a1 m
an	 a1 n
anh	 ɛ1 ɲ
ao	 a1 w
au	 ă1 w
ba	 b a1
bai	 b a1 j
bam	 b a1 m
ban	 b a1 n
bang	 b a1 ŋ
banh	 b ɛ1 ɲ
bao	 b a1 w
bay	 b ă1 j
be	 b ɛ1
ben	 b ɛ1 n
beo	 b eo1
bi	 b i1
bia	 b iə1
bim	 b i1 m
bin	 b i1 n
binh	 b i1 ɲ
biên	 b iə1 n
biếc	 b iə5 k
biếm	 b iə5 m
biến	 b iə5 n
biếng	 b iə5 ŋ
biết	 b iə5 t
biếu	 b iə5 w
biển	 b iə4 n
biểu	 b iə4 w
biện	 b iə6 n
biệt	 b iə6 t
bo	 b ɔ1
bon	 b ɔ1 n
bong	 b ɔ1 ŋ͡m
bu	 b u1
bua	 b uə1
bun	 b u1 n
buôn	 b uə1 n
buông	 b uə1 ŋ
buồm	 b uə2 m
buồn	 b uə2 n
buồng	 b uə2 ŋ
buổi	 b uə4 j
buộc	 b uə6 k
buột	 b uə6 t
by	 b i1
bà	 b a2
bài	 b a2 j
bàn	 b a2 n
bàng	 b a2 ŋ
bành	 b ɛ2 ɲ
bào	 b a2 w
bày	 b ă2 j
bá	 b a5
bác	 b a5 k
bách	 b a5 tʃ
bái	 b a5 j
bám	 b a5 m
bán	 b a5 n
báng	 b a5 ŋ
bánh	 b ɛ5 ɲ
báo	 b a5 w
báp	 b a5 p
bát	 b a5 t
báu	 b ă5 w
bâu	 b ɤ̆1 w
bây	 b ɤ̆1 j
bã	 b a3
bãi	 b a3 j
bão	 b a3 w
bè	 b ɛ2
bèn	 b ɛ2 n
bèo	 b eo2
bé	 b ɛ5
béc	 b ɛ5 k
bén	 b ɛ5 n
béo	 b eo5
bét	 b ɛ5 t
bê	 b e1
bên	 b e1 n
bênh	 b e1 ɲ
bêu	 b ɛu1
bì	 b i2
bình	 b i2 ɲ
bí	 b i5
bích	 b i5 tʃ
bính	 b i5 ɲ
bíp	 b i5 p
bít	 b i5 t
bò	 b ɔ2
bó	 b ɔ5
bóc	 b ɔ5 k͡p
bói	 b ɔ5 j
bón	 b ɔ5 n
bóng	 b ɔ5 ŋ͡m
bóp	 b ɔ5 p
bô	 b o1
bôi	 b o1 j
bôn	 b o1 n
bông	 b o1 ŋ͡m
bù	 b u2
bùa	 b uə2
bùi	 b u2 j
bùn	 b u2 n
bùng	 b u2 ŋ͡m
bú	 b u5
búa	 b uə5
búc	 b u5 k͡p
búp	 b u5 p
bút	 b u5 t
băm	 b ă1 m
băn	 b ă1 n
băng	 b ă1 ŋ
bơ	 b ɤ1
bơi	 b ɤ1 j
bưng	 b ɯ1 ŋ
bước	 b ɯə5 k
bướng	 b ɯə5 ŋ
bướu	 b ɯə5 w
bạ	 b a6
bạc	 b a6 k
bạch	 b a6 tʃ
bại	 b a6 j
bạn	 b a6 n
bạo	 b a6 w
bạt	 b a6 t
bản	 b a4 n
bảng	 b a4 ŋ
bảo	 b a4 w
bảy	 b ă4 j
bấc	 b ɤ̆5 k
bấn	 b ɤ̆5 n
bấp	 b ɤ̆5 p
bất	 b ɤ̆5 t
bấu	 b ɤ̆5 w
bấy	 b ɤ̆5 j
bầm	 b ɤ̆2 m
bần	 b ɤ̆2 n
bầu	 b ɤ̆2 w
bầy	 b ɤ̆2 j
bẩm	 b ɤ̆4 m
bẩn	 b ɤ̆4 n
bẩy	 b ɤ̆4 j
bẫy	 b ɤ̆3 j
bậc	 b ɤ̆6 k
bận	 b ɤ̆6 n
bập	 b ɤ̆6 p
bật	 b ɤ̆6 t
bậy	 b ɤ̆6 j
bắc	 b ă5 k
bắn	 b ă5 n
bắp	 b ă5 p
bắt	 b ă5 t
bằm	 b ă2 m
bằng	 b ă2 ŋ
bẵng	 b ă3 ŋ
bặm	 b ă6 m
bặt	 b ă6 t
bẹp	 b ɛ6 p
bẹt	 b ɛ6 t
bẻ	 b ɛ4
bẻm	 b ɛ4 m
bẽ	 b ɛ3
bẽo	 b eo3
bế	 b e5
bến	 b e5 n
bếp	 b e5 p
bết	 b e5 t
bề	 b e2
bền	 b e2 n
bềnh	 b e2 ɲ
bể	 b e4
bễ	 b e3
bệ	 b e6
bện	 b e6 n
bệnh	 b e6 ɲ
bỉ	 b i4
bỉnh	 b i4 ɲ
bị	 b i6
bịa	 b iə6
bịch	 b i6 tʃ
bịp	 b i6 p
bịt	 b i6 t
bịu	 b i6 w
bọ	 b ɔ6
bọc	 b ɔ6 k͡p
bọn	 b ɔ6 n
bọt	 b ɔ6 t
bỏ	 b ɔ4
bỏng	 b ɔ4 ŋ͡m
bố	 b o5
bốc	 b o5 k͡p
bối	 b o5 j
bốn	 b o5 n
bốt	 b o5 t
bồ	 b o2
bồi	 b o2 j
bồn	 b o2 n
bồng	 b o2 ŋ͡m
bổ	 b o4
bổn	 b o4 n
bổng	 b o4 ŋ͡m
bỗng	 b o3 ŋ͡m
bộ	 b o6
bộc	 b o6 k͡p
bội	 b o6 j
bộng	 b o6 ŋ͡m
bột	 b o6 t
bớ	 b ɤ5
bới	 b ɤ5 j
bớt	 b ɤ5 t
bờ	 b ɤ2
bời	 b ɤ2 j
bờm	 b ɤ2 m
bở	 b ɤ4
bởi	 b ɤ4 j
bỡ	 b ɤ3
bỡn	 b ɤ3 n
bợ	 b ɤ6
bợm	 b ɤ6 m
bụa	 b uə6
bục	 b u6 k͡p
bụi	 b u6 j
bụm	 b u6 m
bụng	 b u6 ŋ͡m
bụt	 b u6 t
bủa	 b uə4
bủn	 b u4 n
bức	 b ɯ5 k
bứng	 b ɯ5 ŋ
bứt	 b ɯ5 t
bừa	 b ɯə2
bừng	 b ɯ2 ŋ
bửa	 b ɯə4
bửu	 b ɯ4 w
bữa	 b ɯə3
bực	 b ɯ6 k
ca	 k a1
cai	 k a1 j
cam	 k a1 m
can	 k a1 n
canh	 k ɛ1 ɲ
cao	 k a1 w
cay	 k ă1 j
cen	 k ɛ1 n
cha	 c a1
chai	 c a1 j
cham	 c a1 m
chan	 c a1 n
chanh	 c ɛ1 ɲ
chao	 c a1 w
chay	 c ă1 j
che	 c ɛ1
chem	 c ɛ1 m
chen	 c ɛ1 n
cheo	 c eo1
chi	 c i1
chia	 c iə1
chim	 c i1 m
chinh	 c i1 ɲ
chiêm	 c iə1 m
chiên	 c iə1 n
chiêng	 c iə1 ŋ
chiêu	 c iə1 w
chiếc	 c iə5 k
chiếm	 c iə5 m
chiến	 c iə5 n
chiết	 c iə5 t
chiếu	 c iə5 w
chiều	 c iə2 w
cho	 c ɔ1
choang	 cw ʷa1 ŋ
choàng	 cw ʷa2 ŋ
choán	 cw ʷa5 n
choáng	 cw ʷa5 ŋ
choạng	 cw ʷa6 ŋ
chu	 c u1
chua	 c uə1
chui	 c u1 j
chum	 c u1 m
chung	 c u1 ŋ͡m
chuyên	 cw ʷiə1 n
chuyến	 cw ʷiə5 n
chuyền	 cw ʷiə2 n
chuyển	 cw ʷiə4 n
chuyện	 cw ʷiə6 n
chuôm	 c uə1 m
chuông	 c uə1 ŋ
chuẩn	 cw ʷɤ̆4 n
chuốc	 c uə5 k
chuốt	 c uə5 t
chuồng	 c uə2 ŋ
chuỗi	 c uə3 j
chuộc	 c uə6 k
chuộng	 c uə6 ŋ
chuột	 c uə6 t
chy	 c i1
chà	 c a2
chài	 c a2 j
chàm	 c a2 m
chàng	 c a2 ŋ
chào	 c a2 w
chày	 c ă2 j
chác	 c a5 k
chán	 c a5 n
chánh	 c ɛ5 ɲ
cháo	 c a5 w
chát	 c a5 t
cháu	 c ă5 w
cháy	 c ă5 j
châm	 c ɤ̆1 m
chân	 c ɤ̆1 n
châu	 c ɤ̆1 w
chãi	 c a3 j
chè	 c ɛ2
chèn	 c ɛ2 n
chèo	 c eo2
chém	 c ɛ5 m
chén	 c ɛ5 n
chéo	 c eo5
chép	 c ɛ5 p
chét	 c ɛ5 t
chê	 c e1
chên	 c e1 n
chì	 c i2
chìa	 c iə2
chìm	 c i2 m
chí	 c i5
chích	 c i5 tʃ
chín	 c i5 n
chính	 c i5 ɲ
chíp	 c i5 p
chít	 c i5 t
chòi	 c ɔ2 j
chòm	 c ɔ2 m
chòng	 c ɔ2 ŋ͡m
chó	 c ɔ5
chóc	 c ɔ5 k͡p
chói	 c ɔ5 j
chóng	 c ɔ5 ŋ͡m
chóp	 c ɔ5 p
chót	 c ɔ5 t
chô	 c o1
chôn	 c o1 n
chông	 c o1 ŋ͡m
chõ	 c ɔ3
chõa	 cw ʷa3
chõng	 c ɔ3 ŋ͡m
chùi	 c u2 j
chùm	 c u2 m
chùn	 c u2 n
chú	 c u5
chúa	 c uə5
chúc	 c u5 k͡p
chúng	 c u5 ŋ͡m
chút	 c u5 t
chăm	 c ă1 m
chăn	 c ă1 n
chăng	 c ă1 ŋ
chĩa	 c iə3
chũi	 c u3 j
chơi	 c ɤ1 j
chư	 c ɯ1
chưa	 c ɯə1
chưng	 c ɯ1 ŋ
chương	 c ɯə1 ŋ
chước	 c ɯə5 k
chướng	 c ɯə5 ŋ
chường	 c ɯə2 ŋ
chưởi	 c ɯə4 j
chạm	 c a6 m
chạng	 c a6 ŋ
chạnh	 c ɛ6 ɲ
chạp	 c a6 p
chạy	 c ă6 j
chải	 c a4 j
chảo	 c a4 w
chảy	 c ă4 j
chấm	 c ɤ̆5 m
chấn	 c ɤ̆5 n
chấp	 c ɤ̆5 p
chất	 c ɤ̆5 t
chấu	 c ɤ̆5 w
chầm	 c ɤ̆2 m
chần	 c ɤ̆2 n
chầu	 c ɤ̆2 w
chậm	 c ɤ̆6 m
chận	 c ɤ̆6 n
chập	 c ɤ̆6 p
chật	 c ɤ̆6 t
chậu	 c ɤ̆6 w
chắc	 c ă5 k
chắn	 c ă5 n
chắp	 c ă5 p
chắt	 c ă5 t
chằm	 c ă2 m
chằng	 c ă2 ŋ
chẳng	 c ă4 ŋ
chặn	 c ă6 n
chặng	 c ă6 ŋ
chặp	 c ă6 p
chặt	 c ă6 t
chẻ	 c ɛ4
chẽ	 c ɛ3
chế	 c e5
chếc	 c e5 k
chết	 c e5 t
chề	 c e2
chểnh	 c e4 ɲ
chễm	 c e3 m
chệ	 c e6
chệch	 c e6 tʃ
chỉ	 c i4
chỉnh	 c i4 ɲ
chị	 c i6
chịt	 c i6 t
chịu	 c i6 w
chọc	 c ɔ6 k͡p
chọn	 c ɔ6 n
chốc	 c o5 k͡p
chối	 c o5 j
chốn	 c o5 n
chống	 c o5 ŋ͡m
chốt	 c o5 t
chồi	 c o2 j
chồm	 c o2 m
chồn	 c o2 n
chồng	 c o2 ŋ͡m
chổi	 c o4 j
chỗ	 c o3
chỗi	 c o3 j
chột	 c o6 t
chớ	 c ɤ5
chớp	 c ɤ5 p
chờ	 c ɤ2
chờn	 c ɤ2 n
chở	 c ɤ4
chởm	 c ɤ4 m
chợ	 c ɤ6
chợp	 c ɤ6 p
chợt	 c ɤ6 t
chục	 c u6 k͡p
chụm	 c u6 m
chụp	 c u6 p
chủ	 c u4
chủng	 c u4 ŋ͡m
chứ	 c ɯ5
chứa	 c ɯə5
chức	 c ɯ5 k
chứng	 c ɯ5 ŋ
chừ	 c ɯ2
chừa	 c ɯə2
chừng	 c ɯ2 ŋ
chửa	 c ɯə4
chửi	 c ɯ4 j
chửng	 c ɯ4 ŋ
chữ	 c ɯ3
chữa	 c ɯə3
chực	 c ɯ6 k
co	 k ɔ1
coi	 k ɔ1 j
com	 k ɔ1 m
con	 k ɔ1 n
cong	 k ɔ1 ŋ͡m
cu	 k u1
cua	 k uə1
cui	 k u1 j
cum	 k u1 m
cun	 k u1 n
cung	 k u1 ŋ͡m
cuốc	 k uə5 k
cuối	 k uə5 j
cuốn	 k uə5 n
cuống	 k uə5 ŋ
cuồn	 k uə2 n
cuồng	 k uə2 ŋ
cuộc	 k uə6 k
cuội	 k uə6 j
cuộn	 k uə6 n
cà	 k a2
cài	 k a2 j
càn	 k a2 n
càng	 k a2 ŋ
cành	 k ɛ2 ɲ
cào	 k a2 w
càu	 k ă2 w
cày	 k ă2 j
cá	 k a5
các	 k a5 k
cách	 k a5 tʃ
cái	 k a5 j
cám	 k a5 m
cán	 k a5 n
cáng	 k a5 ŋ
cánh	 k ɛ5 ɲ
cáo	 k a5 w
cáp	 k a5 p
cát	 k a5 t
cáu	 k ă5 w
câm	 k ɤ̆1 m
