a	a1
à	a2
ả	a4
á	a5
ạ	a6
ác	a5 k
ách	a5 tʃ
ạch	a6 tʃ
ai	a1 j
ải	a4 j
ái	a5 j
am	a1 m
ảm	a4 m
ám	a5 m
an	a1 n
án	a5 n
ang	a1 ŋ
áng	a5 ŋ
anh	ɛ1 ɲ
ảnh	ɛ4 ɲ
ánh	ɛ5 ɲ
ao	a1 w
ào	a2 w
ảo	a4 w
áo	a5 w
áp	a5 p
át	a5 t
ạt	a6 t
au	ă1 w
ãy	ă3 j
áy	ă5 j
ặc	ă6 k
ẵm	ă3 m
ăn	ă1 n
ăng	ă1 ŋ
ẳng	ă4 ŋ
ắng	ă5 ŋ
ắp	ă5 p
ắt	ă5 t
âm	ɤ̆1 m
ầm	ɤ̆2 m
ẩm	ɤ̆4 m
ấm	ɤ̆5 m
ậm	ɤ̆6 m
ân	ɤ̆1 n
ẩn	ɤ̆4 n
ấn	ɤ̆5 n
ấp	ɤ̆5 p
ập	ɤ̆6 p
ất	ɤ̆5 t
âu	ɤ̆1 w
ẩu	ɤ̆4 w
ấu	ɤ̆5 w
ấy	ɤ̆5 j
ba	b a1
bà	b a2
bả	b a4
bã	b a3
bá	b a5
bạ	b a6
bác	b a5 k
bạc	b a6 k
bách	b a5 tʃ
bạch	b a6 tʃ
bai	b a1 j
bài	b a2 j
bãi	b a3 j
bái	b a5 j
bại	b a6 j
bám	b a5 m
ban	b a1 n
bàn	b a2 n
bản	b a4 n
bán	b a5 n
bạn	b a6 n
bạn	b a6 n
bang	b a1 ŋ
bàng	b a2 ŋ
bảng	b a4 ŋ
báng	b a5 ŋ
banh	b ɛ1 ɲ
bành	b ɛ2 ɲ
bảnh	b ɛ4 ɲ
bánh	b ɛ5 ɲ
bạnh	b ɛ6 ɲ
bao	b a1 w
bào	b a2 w
bảo	b a4 w
bão	b a3 w
báo	b a5 w
bạo	b a6 w
bát	b a5 t
bạt	b a6 t
bàu	b ă2 w
báu	b ă5 w
bay	b ă1 j
bày	b ă2 j
bảy	b ă4 j
bắc	b ă5 k
băm	b ă1 m
bằm	b ă2 m
bặm	b ă6 m
băn	b ă1 n
bắn	b ă5 n
băng	b ă1 ŋ
bằng	b ă2 ŋ
bẵng	b ă3 ŋ
bắng	b ă5 ŋ
bắp	b ă5 p
bắt	b ă5 t
bặt	b ă6 t
bấc	b ɤ̆5 k
bậc	b ɤ̆6 k
bầm	b ɤ̆2 m
bẩm	b ɤ̆4 m
bẫm	b ɤ̆3 m
bấm	b ɤ̆5 m
bân	b ɤ̆1 n
bần	b ɤ̆2 n
bẩn	b ɤ̆4 n
bấn	b ɤ̆5 n
bận	b ɤ̆6 n
bâng	b ɤ̆1 ŋ
bấp	b ɤ̆5 p
bập	b ɤ̆6 p
bất	b ɤ̆5 t
bật	b ɤ̆6 t
bâu	b ɤ̆1 w
bầu	b ɤ̆2 w
bấu	b ɤ̆5 w
bây	b ɤ̆1 j
bầy	b ɤ̆2 j
bẩy	b ɤ̆4 j
bẫy	b ɤ̆3 j
bấy	b ɤ̆5 j
bậy	b ɤ̆6 j
be	b ɛ1
bè	b ɛ2
bẻ	b ɛ4
bẽ	b ɛ3
bé	b ɛ5
bẹ	b ɛ6
bèn	b ɛ2 n
bẽn	b ɛ3 n
bén	b ɛ5 n
bẹn	b ɛ6 n
beng	b ɛ1 ŋ
béng	b ɛ5 ŋ
beo	b eo1
bèo	b eo2
bẽo	b eo3
béo	b eo5
bẹo	b eo6
bép	b ɛ5 p
bẹp	b ɛ6 p
bét	b ɛ5 t
bẹt	b ɛ6 t
bê	b e1
bề	b e2
bể	b e4
bế	b e5
bệ	b e6
bệch	b e6 tʃ
bên	b e1 n
bền	b e2 n
bến	b e5 n
bện	b e6 n
bênh	b e1 ɲ
bềnh	b e2 ɲ
bệnh	b e6 ɲ
bếp	b e5 p
bết	b e5 t
bệt	b e6 t
bêu	b ɛu1
bi	b i1
bì	b i2
bỉ	b i4
bĩ	b i3
bí	b i5
bị	b i6
bia	b iə1
bìa	b iə2
bịa	b iə6
bích	b i5 tʃ
bịch	b i6 tʃ
biếc	b iə5 k
biếm	b iə5 m
biên	b iə1 n
biền	b iə2 n
biển	b iə4 n
biến	b iə5 n
biện	b iə6 n
biêng	b iə1 ŋ
biếng	b iə5 ŋ
biết	b iə5 t
biệt	b iə6 t
biểu	b iə4 w
biếu	b iə5 w
bìm	b i2 m
bỉm	b i4 m
bím	b i5 m
bịn	b i6 n
binh	b i1 ɲ
bình	b i2 ɲ
bỉnh	b i4 ɲ
bĩnh	b i3 ɲ
bính	b i5 ɲ
bịp	b i6 p
bít	b i5 t
bịt	b i6 t
bìu	b i2 w
bỉu	b i4 w
bĩu	b i3 w
bíu	b i5 w
bịu	b i6 w
bo	b ɔ1
bò	b ɔ2
bỏ	b ɔ4
bó	b ɔ5
bọ	b ɔ6
boa	bw ʷa1
bóc	b ɔ5 k͡p
bọc	b ɔ6 k͡p
bói	b ɔ5 j
bom	b ɔ1 m
bõm	b ɔ3 m
bon	b ɔ1 n
bòn	b ɔ2 n
bón	b ɔ5 n
bọn	b ɔ6 n
bong	b ɔ1 ŋ͡m
bòng	b ɔ2 ŋ͡m
bỏng	b ɔ4 ŋ͡m
bõng	b ɔ3 ŋ͡m
bóng	b ɔ5 ŋ͡m
bọng	b ɔ6 ŋ͡m
bóp	b ɔ5 p
bót	b ɔ5 t
bọt	b ɔ6 t
bô	b o1
bồ	b o2
bổ	b o4
bỗ	b o3
bố	b o5
bộ	b o6
bốc	b o5 k͡p
bộc	b o6 k͡p
bôi	b o1 j
bồi	b o2 j
bối	b o5 j
bội	b o6 j
bôn	b o1 n
bồn	b o2 n
bổn	b o4 n
bốn	b o5 n
bộn	b o6 n
bông	b o1 ŋ͡m
bồng	b o2 ŋ͡m
bổng	b o4 ŋ͡m
bỗng	b o3 ŋ͡m
bống	b o5 ŋ͡m
bộp	b o6 p
bốt	b o5 t
bột	b o6 t
bơ	b ɤ1
bờ	b ɤ2
bở	b ɤ4
bỡ	b ɤ3
bợ	b ɤ6
bơi	b ɤ1 j
bời	b ɤ2 j
bởi	b ɤ4 j
bới	b ɤ5 j
bơm	b ɤ1 m
bờm	b ɤ2 m
bợm	b ɤ6 m
bợn	b ɤ6 n
bợp	b ɤ6 p
bớt	b ɤ5 t
bu	b u1
bù	b u2
bú	b u5
bụ	b u6
bùa	b uə2
bủa	b uə4
búa	b uə5
bụa	b uə6
bục	b u6 k͡p
bùi	b u2 j
búi	b u5 j
bụi	b u6 j
bùn	b u2 n
bủn	b u4 n
bún	b u5 n
bung	b u1 ŋ͡m
bùng	b u2 ŋ͡m
búng	b u5 ŋ͡m
bụng	b u6 ŋ͡m
buộc	b uə6 k
buổi	b uə4 j
buồm	b uə2 m
buôn	b uə1 n
buồn	b uə2 n
buông	b uə1 ŋ
buồng	b uə2 ŋ
buốt	b uə5 t
búp	b u5 p
bụp	b u6 p
bút	b u5 t
bụt	b u6 t
buýt	bw ʷi5 t
bự	b ɯ6
bừa	b ɯə2
bữa	b ɯə3
bức	b ɯ5 k
bực	b ɯ6 k
bưng	b ɯ1 ŋ
bừng	b ɯ2 ŋ
bứng	b ɯ5 ŋ
bước	b ɯə5 k
bươi	b ɯə1 j
bưởi	b ɯə4 j
bươm	b ɯə1 m
bướm	b ɯə5 m
bướng	b ɯə5 ŋ
bươu	b ɯə1 w
bướu	b ɯə5 w
bứt	b ɯ5 t
bưu	b ɯ1 w
bửu	b ɯ4 w
ca	k a1
cà	k a2
cả	k a4
cá	k a5
các	k a5 k
cạc	k a6 k
cách	k a5 tʃ
cạch	k a6 tʃ
cai	k a1 j
cài	k a2 j
cải	k a4 j
cãi	k a3 j
cái	k a5 j
cam	k a1 m
càm	k a2 m
cảm	k a4 m
cám	k a5 m
cạm	k a6 m
can	k a1 n
càn	k a2 n
cản	k a4 n
cán	k a5 n
cạn	k a6 n
càng	k a2 ŋ
cảng	k a4 ŋ
cáng	k a5 ŋ
canh	k ɛ1 ɲ
cành	k ɛ2 ɲ
cảnh	k ɛ4 ɲ
cánh	k ɛ5 ɲ
cạnh	k ɛ6 ɲ
cao	k a1 w
cào	k a2 w
cảo	k a4 w
cáo	k a5 w
cạo	k a6 w
cáp	k a5 p
cạp	k a6 p
cát	k a5 t
cau	k ă1 w
càu	k ă2 w
cáu	k ă5 w
cạu	k ă6 w
cay	k ă1 j
cày	k ă2 j
cáy	k ă5 j
cạy	k ă6 j
cắc	k ă5 k
căm	k ă1 m
cằm	k ă2 m
cắm	k ă5 m
cặm	k ă6 m
căn	k ă1 n
cằn	k ă2 n
cắn	k ă5 n
cặn	k ă6 n
căng	k ă1 ŋ
cẳng	k ă4 ŋ
cắp	k ă5 p
cặp	k ă6 p
cắt	k ă5 t
câm	k ɤ̆1 m
cầm	k ɤ̆2 m
cẩm	k ɤ̆4 m
cấm	k ɤ̆5 m
cân	k ɤ̆1 n
cần	k ɤ̆2 n
cẩn	k ɤ̆4 n
cấn	k ɤ̆5 n
cận	k ɤ̆6 n
cẫng	k ɤ̆3 ŋ
cấp	k ɤ̆5 p
cập	k ɤ̆6 p
cất	k ɤ̆5 t
cật	k ɤ̆6 t
câu	k ɤ̆1 w
cầu	k ɤ̆2 w
cẩu	k ɤ̆4 w
cấu	k ɤ̆5 w
cậu	k ɤ̆6 w
cây	k ɤ̆1 j
cầy	k ɤ̆2 j
cấy	k ɤ̆5 j
cậy	k ɤ̆6 j
cha	c a1
chà	c a2
chả	c a4
chã	c a3
chác	c a5 k
chạc	c a6 k
chạch	c a6 tʃ
chai	c a1 j
chài	c a2 j
chải	c a4 j
chãi	c a3 j
chái	c a5 j
cham	c a1 m
chàm	c a2 m
chạm	c a6 m
chan	c a1 n
chán	c a5 n
chạn	c a6 n
chang	c a1 ŋ
chàng	c a2 ŋ
chanh	c ɛ1 ɲ
chành	c ɛ2 ɲ
chảnh	c ɛ4 ɲ
chánh	c ɛ5 ɲ
chạnh	c ɛ6 ɲ
chao	c a1 w
chào	c a2 w
chảo	c a4 w
cháo	c a5 w
chạp	c a6 p
chát	c a5 t
chau	c ă1 w
cháu	c ă5 w
chay	c ă1 j
chày	c ă2 j
chảy	c ă4 j
cháy	c ă5 j
chạy	c ă6 j
chắc	c ă5 k
chăm	c ă1 m
chằm	c ă2 m
chắm	c ă5 m
chăn	c ă1 n
chằn	c ă2 n
chẵn	c ă3 n
chắn	c ă5 n
chặn	c ă6 n
chăng	c ă1 ŋ
chằng	c ă2 ŋ
chẳng	c ă4 ŋ
chặng	c ă6 ŋ
chắp	c ă5 p
chắt	c ă5 t
chặt	c ă6 t
châm	c ɤ̆1 m
chầm	c ɤ̆2 m
chẩm	c ɤ̆4 m
chấm	c ɤ̆5 m
chậm	c ɤ̆6 m
chân	c ɤ̆1 n
chần	c ɤ̆2 n
chẩn	c ɤ̆4 n
chấn	c ɤ̆5 n
chận	c ɤ̆6 n
chấp	c ɤ̆5 p
chập	c ɤ̆6 p
chất	c ɤ̆5 t
chật	c ɤ̆6 t
châu	c ɤ̆1 w
chầu	c ɤ̆2 w
chấu	c ɤ̆5 w
chậu	c ɤ̆6 w
chây	c ɤ̆1 j
chấy	c ɤ̆5 j
che	c ɛ1
chè	c ɛ2
chẻ	c ɛ4
chẽ	c ɛ3
ché	c ɛ5
chem	c ɛ1 m
chèm	c ɛ2 m
chém	c ɛ5 m
chen	c ɛ1 n
chèn	c ɛ2 n
chẽn	c ɛ3 n
chén	c ɛ5 n
chẹn	c ɛ6 n
cheng	c ɛ1 ŋ
cheo	c eo1
chèo	c eo2
chéo	c eo5
chẹo	c eo6
chép	c ɛ5 p
chẹp	c ɛ6 p
chét	c ɛ5 t
chê	c e1
chề	c e2
chế	c e5
chếch	c e5 tʃ
chệch	c e6 tʃ
chêm	c e1 m
chênh	c e1 ɲ
chềnh	c e2 ɲ
chểnh	c e4 ɲ
chết	c e5 t
chi	c i1
chì	c i2
chỉ	c i4
chí	c i5
chị	c i6
chia	c iə1
chìa	c iə2
chĩa	c iə3
chích	c i5 tʃ
chiếc	c iə5 k
chiêm	c iə1 m
chiếm	c iə5 m
chiên	c iə1 n
chiền	c iə2 n
chiến	c iə5 n
chiện	c iə6 n
chiêng	c iə1 ŋ
chiếng	c iə5 ŋ
chiết	c iə5 t
chiêu	c iə1 w
chiều	c iə2 w
chiểu	c iə4 w
chiếu	c iə5 w
chim	c i1 m
chìm	c i2 m
chím	c i5 m
chỉn	c i4 n
chĩn	c i3 n
chín	c i5 n
chinh	c i1 ɲ
chình	c i2 ɲ
chỉnh	c i4 ɲ
chính	c i5 ɲ
chít	c i5 t
chịt	c i6 t
chiu	c i1 w
chíu	c i5 w
chịu	c i6 w
cho	c ɔ1
chò	c ɔ2
chỏ	c ɔ4
chó	c ɔ5
chõa	cw ʷa3
choạc	cw ʷa6 k
choai	cw a1 j
choán	cw ʷa5 n
choang	cw ʷa1 ŋ
choàng	cw ʷa2 ŋ
choảng	cw ʷa4 ŋ
choáng	cw ʷa5 ŋ
choạng	cw ʷa6 ŋ
